SenIP,SenR,SenDFL,SenIPFirst,SenRFirst,SenDFLFirst
26,324,416,2,3,4
9,238,183,9,2,1
5,48,89,5,4,8
0,9,10,0,9,1
2,5,30,2,5,3
1,19,45,1,1,4
1,7,10,1,7,1
0,10,13,0,1,1
14,289,292,1,2,2
4,75,88,4,7,8
4,117,147,4,1,1
3,31,51,3,3,5
6,183,217,6,1,2
7,71,106,7,7,1
4,56,91,4,5,9
1,36,49,1,3,4
2,72,58,2,7,5
0,6,7,0,6,7
2,42,59,2,4,5
5,104,120,5,1,1
0,13,7,0,1,7
0,11,6,0,1,6
2,3,8,2,3,8
4,36,50,4,3,5
0,12,14,0,1,1
4,22,63,4,2,6
2,13,11,2,1,1
5,27,48,5,2,4
0,10,15,0,1,1
2,61,101,2,6,1
2,40,29,2,4,2
6,260,290,6,2,2
0,27,34,0,2,3
0,21,9,0,2,9
4,31,28,4,3,2
0,17,29,0,1,2
1,21,9,1,2,9
12,258,311,1,2,3
4,26,31,4,2,3
7,128,129,7,1,1
0,10,11,0,1,1
2,42,44,2,4,4
0,15,11,0,1,1
3,78,78,3,7,7
7,76,76,7,7,7
5,66,102,5,6,1
2,9,7,2,9,7
4,24,23,4,2,2
4,37,45,4,3,4
1,16,6,1,1,6
2,4,8,2,4,8
2,20,41,2,2,4
1,10,15,1,1,1
3,14,18,3,1,1
23,794,506,2,7,5
21,736,496,2,7,4
32,806,585,3,8,5
22,563,470,2,5,4
27,840,540,2,8,5
24,638,394,2,6,3
14,529,339,1,5,3
17,642,436,1,6,4
14,695,419,1,6,4
19,700,550,1,7,5
19,202,277,1,2,2
17,336,367,1,3,3
12,355,330,1,3,3
20,308,424,2,3,4
21,273,326,2,2,3
29,234,359,2,2,3
26,322,327,2,3,3
18,360,342,1,3,3
7,77,47,7,7,4
18,310,471,1,3,4
13,368,479,1,3,4
20,286,386,2,2,3
14,217,291,1,2,2
17,520,474,1,5,4
14,340,270,1,3,2
14,307,300,1,3,3
35,339,378,3,3,3
15,307,429,1,3,4
20,295,329,2,2,3
6,336,421,6,3,4
12,292,439,1,2,4
12,422,404,1,4,4
9,481,381,9,4,3
15,431,280,1,4,2
14,842,491,1,8,4
26,319,425,2,3,4
21,395,459,2,3,4
21,364,374,2,3,3
19,511,506,1,5,5
15,385,398,1,3,3
29,700,618,2,7,6
19,648,627,1,6,6
9,207,156,9,2,1
33,793,642,3,7,6
25,306,363,2,3,3
15,621,740,1,6,7
26,250,654,2,2,6
21,210,526,2,2,5
16,202,545,1,2,5
19,229,461,1,2,4
24,284,545,2,2,5
21,300,470,2,3,4
15,243,520,1,2,5
28,208,465,2,2,4
53,977,743,5,9,7
27,798,726,2,7,7
31,764,576,3,7,5
31,555,489,3,5,4
13,310,306,1,3,3
18,544,539,1,5,5
16,371,334,1,3,3
29,592,591,2,5,5
15,326,380,1,3,3
26,321,422,2,3,4
